[ 2025-01-17 14:55:49,817-INFO-Initiate data ingestion ]
[ 2025-01-17 14:55:50,161-INFO-{"message": "Waiting for suitable server to become available", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 678a221eab140a3314c74f3e, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('cluster0-shard-00-00.rpg3w.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('cluster0-shard-00-01.rpg3w.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('cluster0-shard-00-02.rpg3w.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "678a221eab140a3314c74f3e"}, "remainingTimeMS": 30} ]
[ 2025-01-17 14:55:58,956-INFO-Performed train-test split ]
[ 2025-01-17 14:55:59,216-INFO-Exported train test split ]
[ 2025-01-17 14:55:59,232-INFO-Initiate the data validation ]
[ 2025-01-17 14:55:59,321-INFO-Number_of_columns is: 2 ]
[ 2025-01-17 14:55:59,321-INFO-Number of columns is:31 ]
[ 2025-01-17 14:55:59,321-INFO-Number_of_columns is: 2 ]
[ 2025-01-17 14:55:59,321-INFO-Number of columns is:31 ]
[ 2025-01-17 14:55:59,847-INFO-Data Validation Completed ]
[ 2025-01-17 14:55:59,847-INFO-Initiate data transformation ]
[ 2025-01-17 14:55:59,847-INFO-Starting data transformation ]
[ 2025-01-17 14:55:59,968-INFO-Enter get data transformation method of transformation class ]
[ 2025-01-17 14:56:00,070-INFO-Data Transformation Completed ]
[ 2025-01-17 14:56:00,070-INFO-Model trainer config initialised ]
[ 2025-01-17 14:56:00,070-INFO-Model trainer initialised ]
